2	15	0
0	14	1
0	17	0
0	12	0
0	16	0
1	30	0
0	36	2
0	41	0
1	57	0
2	83	0
1	99	1
1	114	0
4	108	0
2	105	0
6	103	2
3	125	3
1	97	3
2	70	6
7	79	4
4	61	3
7	65	10
9	62	6
5	49	12
12	52	12
24	55	16
47	45	31
77	70	38
103	51	54
122	32	91
145	52	122
142	45	125
152	46	166
139	48	151
80	39	157
83	36	132
77	47	141
73	40	127
64	42	130
51	41	84
46	34	61
39	45	66
37	29	59
34	34	65
40	46	51
43	47	64
31	46	67
40	47	85
44	47	71
38	64	82
41	64	77
32	63	55
35	68	75
33	80	77
32	65	69
30	66	59
24	64	86
26	67	72
24	62	78
35	64	75
15	66	71
25	75	75
31	83	66
20	63	74
27	72	65
25	66	59
22	85	65
23	78	69
25	73	64
23	81	54
26	67	76
17	69	66
24	76	67
17	68	78
25	77	75
13	77	63
21	87	59
22	79	58
18	67	72
17	84	56
33	76	51
18	67	59
32	71	58
16	83	69
33	76	59
34	77	73
29	85	65
30	81	83
40	89	75
35	101	94
37	118	77
43	132	105
37	150	111
55	171	98
51	158	107
70	164	137
66	129	119
62	116	155
52	114	157
75	101	132
59	83	125
66	71	92
62	47	89
60	47	70
60	53	62
72	48	51
60	41	61
56	33	50
67	37	50
64	52	51
67	27	48
52	45	36
73	35	31
63	28	34
65	28	42
76	35	43
65	35	34
47	20	28
61	37	25
63	25	26
67	38	33
64	40	35
62	49	26
51	27	21
61	37	36
67	41	25
65	27	27
59	32	33
71	28	24
67	34	31
60	21	31
61	30	31
58	26	23
63	31	30
68	34	36
67	29	42
64	28	37
68	24	30
61	25	24
79	23	30
71	23	25
83	27	39
90	24	23
109	24	38
135	22	25
106	32	23
115	23	31
107	23	20
117	25	23
121	21	19
111	29	23
84	18	23
94	22	28
75	29	24
82	30	19
74	33	27
62	38	26
67	49	22
72	57	30
46	89	25
56	85	22
53	112	17
62	85	23
61	76	27
56	61	23
50	73	18
52	62	34
62	55	30
47	76	29
47	82	54
38	84	53
49	82	64
45	71	59
59	78	62
55	78	55
61	72	62
75	86	55
59	72	53
77	53	72
91	63	61
77	54	67
82	56	67
103	55	56
109	55	66
114	63	73
118	77	62
135	62	65
141	65	69
138	66	70
152	58	59
156	65	63
137	56	50
131	64	70
134	60	57
122	45	51
98	54	49
111	53	49
96	41	41
71	49	37
80	55	36
78	44	42
84	33	44
70	56	49
65	46	54
86	47	54
67	56	48
66	42	47
88	68	50
74	54	40
62	41	51
54	39	49
60	26	44
51	40	36
52	36	45
38	38	41
41	33	41
53	34	64
31	32	43
66	21	49
43	20	43
45	31	41
42	40	45
48	33	38
40	37	26
31	34	38
39	33	43
45	41	42
48	46	40
50	39	45
52	32	35
48	42	30
56	42	40
56	31	45
54	51	45
41	37	43
47	49	31
38	41	37
32	47	39
34	31	32
36	37	37
40	34	35
38	38	34
43	45	41
47	46	24
49	58	31
57	59	32
42	71	20
50	49	30
67	75	36
54	89	39
56	96	32
45	99	29
82	117	34
105	196	35
195	473	62
518	189	125
262	105	2339
