3414	133	616
2293	196	382
5095	367	702
10195	582	646
13070	637	410
8653	593	302
5044	560	243
3548	402	262
2935	353	226
2719	318	224
2628	273	192
2579	266	179
2480	218	178
2417	221	187
2445	208	163
2311	195	183
2107	215	188
1995	174	155
1826	186	156
1749	179	158
1630	157	162
1443	169	147
1306	164	139
1222	165	161
1141	139	136
1142	152	129
1043	174	141
943	146	129
854	132	116
853	156	132
753	133	128
731	138	120
718	149	106
640	125	106
563	154	110
543	121	111
515	144	115
491	158	111
475	159	115
495	136	103
453	133	107
405	135	97
342	136	114
349	158	110
333	157	108
323	205	104
314	152	103
304	173	131
304	189	108
257	194	114
238	193	111
274	220	98
241	254	116
234	303	100
215	356	125
213	389	117
235	404	119
207	501	117
211	514	102
212	595	125
181	641	114
193	791	142
153	717	149
205	793	137
195	883	139
177	907	161
158	938	186
158	921	193
156	915	168
177	867	163
153	978	175
180	959	216
181	982	225
157	978	211
170	1034	256
146	1003	266
166	1083	317
148	1113	320
166	1342	405
151	1690	416
168	1902	471
160	2184	480
167	2727	539
152	2680	602
125	2453	605
175	2314	607
154	2889	684
152	3045	661
157	3607	749
150	3995	780
159	3921	789
171	5035	834
183	3985	777
181	3847	872
158	3521	853
156	2868	850
144	2668	907
171	2774	925
128	1956	873
173	1645	911
145	1658	892
140	1078	946
162	919	956
162	745	927
175	679	1016
157	593	1016
132	583	1068
165	509	1115
169	457	1244
162	435	1463
142	418	1720
176	425	2246
138	373	2906
159	379	2711
152	305	2612
133	314	2830
161	347	2719
145	330	3020
173	307	3430
173	312	3985
148	253	3031
164	262	2711
159	236	2248
174	251	2407
170	248	2093
164	252	2526
158	229	2644
171	210	2306
168	211	2676
173	250	2190
172	218	2145
173	234	1960
170	226	1591
191	215	1645
173	211	1176
152	199	1009
177	242	1330
197	215	685
188	235	452
156	212	401
165	232	412
174	187	343
214	234	326
179	224	320
194	243	346
200	229	327
193	246	292
191	251	292
197	259	273
179	254	267
176	267	272
204	262	247
230	272	245
207	254	265
195	234	238
210	280	294
208	245	243
226	257	238
198	275	227
212	230	249
199	278	291
227	272	232
238	272	231
241	260	262
204	280	267
222	275	263
226	262	261
234	313	256
230	262	252
216	274	226
208	276	260
205	275	260
219	270	256
205	288	253
207	281	249
180	279	275
179	278	298
170	271	298
180	324	273
171	310	269
167	375	301
169	393	303
162	355	317
197	378	323
197	400	330
193	381	326
231	399	299
223	428	380
256	435	356
263	407	361
254	384	378
302	398	371
278	463	397
291	436	431
283	420	445
301	416	392
316	375	375
310	389	413
327	370	401
280	393	432
250	310	427
250	293	409
225	294	457
173	257	440
184	272	414
157	256	400
172	218	392
160	157	425
154	144	381
150	132	383
139	91	326
125	78	270
125	42	237
100	39	249
120	42	246
99	41	194
89	30	202
65	23	159
58	15	192
50	17	141
49	19	120
27	10	115
25	13	91
30	9	98
24	9	86
40	10	83
33	10	55
21	9	58
18	11	40
19	6	47
23	6	32
17	6	38
11	8	28
22	7	21
14	5	21
10	4	25
12	3	18
3	0	21
6	4	10
2	3	11
1	5	8
3	6	10
1	5	7
1	4	8
3	3	4
2	4	4
0	2	6
2	6	5
1	11	7
2	14	6
1	27	4
1	52	1
1	51	6
4	54	7
0	75	18
3	446	719
